x,y,z,counts
2.56,6.955,4.06,47000
2.55,6.955,4.06,49000
2.54,6.955,4.06,63000
2.53,6.955,4.06,66000
2.52,6.955,4.06,55000
2.505,6.955,4.06,33000
2.535,6.955,4.165,68000
2.54,6.955,4.165,62000
2.555,6.955,4.165,45000
2.56,6.955,4.165,30000
2.55,6.955,4.165,56000
2.54,6.955,4.165,62000
2.525,6.955,4.165,67000
2.51,6.955,4.165,48000
2.5,6.955,4.165,30000
2.51,6.955,4.3,53000
2.5,6.955,4.3,34000
2.52,6.955,4.3,67000
2.53,6.955,4.3,70000
2.54,6.955,4.3,63000
2.55,6.955,4.3,49000
2.56,6.955,4.3,30000
2.5,6.955,4.45,40000
2.51,6.955,4.45,57000
2.52,6.955,4.45,65000
2.53,6.955,4.45,68000
2.54,6.955,4.45,52000
2.55,6.955,4.45,38000
2.56,6.955,4.45,25000
2.56,6.955,4.6,22000
2.55,6.955,4.6,38000
2.54,6.955,4.6,52000
2.53,6.955,4.6,66000
2.52,6.955,4.6,69000
2.51,6.955,4.6,63000
2.5,6.955,4.6,41000
2.5,6.955,4.75,46000
2.51,6.955,4.75,61000
2.52,6.955,4.75,67000
2.53,6.955,4.75,60000
2.54,6.955,4.75,48000
2.55,6.955,4.75,34000
2.56,6.955,4.75,19000
2.56,6.955,4.9,15000
2.55,6.955,4.9,28000
2.54,6.955,4.9,42000
2.53,6.955,4.9,60000
2.52,6.955,4.9,68000
2.51,6.955,4.9,68000
2.5,6.955,4.9,54000
2.49,6.955,4.9,34000
2.48,6.955,4.9,17000
2.48,6.955,5.05,29000
2.49,6.955,5.05,45000
2.5,6.955,5.05,71000
2.51,6.955,5.05,83000
2.52,6.955,5.05,80000
2.53,6.955,5.05,63000
2.54,6.955,5.05,48000
2.55,6.955,5.05,27000
2.56,6.955,5.05,16000
2.56,6.955,5.2,12000
2.55,6.955,5.2,26000
2.54,6.955,5.2,40000
2.53,6.955,5.2,62000
2.52,6.955,5.2,76000
2.51,6.955,5.2,84000
2.5,6.955,5.2,74000
2.49,6.955,5.2,58000
2.48,6.955,5.2,37000
2.48,6.955,5.35,44000
2.49,6.955,5.35,66000
2.5,6.955,5.35,82000
2.51,6.955,5.35,85000
2.52,6.955,5.35,76000
2.53,6.955,5.35,60000
2.54,6.955,5.35,32000
2.55,6.955,5.35,18000
2.55,6.955,5.5,14000
2.54,6.955,5.5,26000
2.53,6.955,5.5,49000
2.52,6.955,5.5,68000
2.51,6.955,5.5,80000
2.5,6.955,5.5,86000
2.49,6.955,5.5,72000
2.48,6.955,5.5,52000
2.47,6.955,5.5,33000
2.47,6.955,5.65,39000
2.48,6.955,5.65,59000
2.49,6.955,5.65,77000
